school_name,school_id,original_official_site_url,reason
信阳师范大学,368313,,not-found-after-search
郑州航空工业管理学院,688908956,,not-found-after-search
中国航空研究院(014中心),368307,,not-found-after-search
中国航空研究院(613所),368303,,not-found-after-search
中国舰船研究院(洛阳船舶材料研究所),368310,,not-found-after-search
网络空间部队信息工程大学,368312,,not-found-after-search
中国地质大学(武汉),368369,,not-found-after-search
湖北美术学院,368374,,not-found-after-search
湖北工程学院,3416379650,,not-found-after-search
湖北理工学院,3274413657,,not-found-after-search
中钢集团武汉安全环保研究院,368338,,not-found-after-search
中国航空研究院(610所),368339,,not-found-after-search
航天动力技术研究院(42所),368332,,not-found-after-search
中国地震局地震研究所,368329,,not-found-after-search
中国舰船研究院(武汉数字工程研究所),368336,,not-found-after-search
中国舰船研究院(中国舰船研究设计中心),368340,,not-found-after-search
中国舰船研究院(武汉船用电力推进装置研究所),368341,,not-found-after-search
中国舰船研究院(华中光电技术研究所),368342,,not-found-after-search
中国舰船研究院(武汉船舶通信研究所),368343,,not-found-after-search
中国舰船研究院(武汉第二船舶设计研究所),368353,,not-found-after-search
湖北省社会科学院,368337,,not-found-after-search
海军工程大学,368349,,not-found-after-search
空军预警学院,368350,,not-found-after-search
火箭军指挥学院,368335,,not-found-after-search
信息支援部队工程大学,3416382837,,not-found-after-search
湖南中医药大学,368389,,not-found-after-search
衡阳师范学院,2125728184,,not-found-after-search
长沙学院,3274413879,,not-found-after-search
湖南城市学院,2807891852,,not-found-after-search
中国航空研究院(608所),368384,,not-found-after-search
湖南省中医药研究院,368382,,not-found-after-search
华南农业大学,368413,,not-found-after-search
韶关学院,3274412711,,not-found-after-search
韩山师范学院,3416379770,,not-found-after-search
岭南师范学院,3274412898,,not-found-after-search
星海音乐学院,368426,,not-found-after-search
南方科技大学,1865236958,,not-found-after-search
中共广东省委党校,368407,,not-found-after-search
广东省心血管病研究所,368406,,not-found-after-search
广西医科大学,368434,,not-found-after-search
桂林医科大学,678380,,not-found-after-search
陆军特种作战学院,368412,,not-found-after-search
长江师范学院,3274415400,,not-found-after-search
重庆中医药学院,3416382379,,not-found-after-search
陆军军医大学,368456,,not-found-after-search
联勤保障部队工程大学,3416382896,,not-found-after-search
成都中医药大学,368488,,not-found-after-search
内江师范学院,3274440987,,not-found-after-search
宜宾学院,3416381895,,not-found-after-search
乐山师范学院,3274440926,,not-found-after-search
成都体育学院,368492,,not-found-after-search
四川音乐学院,368485,,not-found-after-search
西南民族大学,368477,,not-found-after-search
攀枝花学院,2807891970,,not-found-after-search
中国航空研究院(611所),368460,,not-found-after-search
中国航空研究院(624所),368466,,not-found-after-search
电信科学技术研究院(第五研究所),368475,,not-found-after-search
贵州医科大学,368500,,not-found-after-search
贵州中医药大学,368501,,not-found-after-search
遵义师范学院,3274413086,,not-found-after-search
铜仁学院,2807892212,,not-found-after-search
贵阳学院,2125733175,,not-found-after-search
贵州师范学院,3274414450,,not-found-after-search
中国航天科工集团第十研究院,368496,,not-found-after-search
大理大学,368514,,not-found-after-search
红河学院,3274413229,,not-found-after-search
云南财经大学,368511,,not-found-after-search
云南民族大学,368510,,not-found-after-search
玉溪师范学院,3274414092,,not-found-after-search
昆明贵金属研究所,368505,,not-found-after-search
西安工程大学,368563,,not-found-after-search
陕西中医药大学,368565,,not-found-after-search
咸阳师范学院,3274413300,,not-found-after-search
西安文理学院,3274413951,,not-found-after-search
商洛学院,3416381954,,not-found-after-search
西安热工研究院有限公司,368570,,not-found-after-search
中国航空研究院(603所),368553,,not-found-after-search
中国航空研究院(623所),368536,,not-found-after-search
中国航空研究院(630所),368535,,not-found-after-search
中国航空研究院(631所),368524,,not-found-after-search
中国航空研究院(618所),368533,,not-found-after-search
中国兵器科学研究院(西安近代化学研究所),368537,,not-found-after-search
中国兵器科学研究院(西安应用光学研究所),368531,,not-found-after-search
中国兵器科学研究院(西安机电信息技术研究所),368530,,not-found-after-search
中国兵器科学研究院(陕西应用物理化学研究所),368529,,not-found-after-search
中国兵器科学研究院(西北机电工程研究所),368528,,not-found-after-search
中国兵器科学研究院(西安现代控制技术研究所),368527,,not-found-after-search
中国兵器科学研究院(西安电子工程研究所),368526,,not-found-after-search
中国航天科工集团第二研究院(16所),368525,,not-found-after-search
航天动力技术研究院,368532,,not-found-after-search
中国空间技术研究院(西安分院),368538,,not-found-after-search
西安微电子技术研究所,368539,,not-found-after-search
中国航天科技集团有限公司第六研究院第十一研究所,368551,,not-found-after-search
电信科学技术第四研究所(西安),368534,,not-found-after-search
中国舰船研究院(西安精密机械研究所),368542,,not-found-after-search
中共陕西省委党校,368543,,not-found-after-search
火箭军工程大学,368548,,not-found-after-search
武警工程大学,368540,,not-found-after-search
西北核技术研究所,368549,,not-found-after-search
兰州城市学院,3274413379,,not-found-after-search
中国空间技术研究院(510所),368582,,not-found-after-search
天华化工机械及自动化研究设计院有限公司,368581,,not-found-after-search
兰州生物制品研究所,368586,,not-found-after-search
新疆医科大学,368615,,not-found-after-search
