school_name,school_id,province,department,zone,is_self_line_34,is_double_first_class,has_graduate_school,yz_detail_url,yz_contact_url,yz_detail_page_status,yz_detail_error,yz_brochure_url,yz_notice_url,official_site_url,external_site_candidates,contact_page_status,contact_page_title,source_list_url,fetched_at,contact_error
北京工商大学,367888,北京,北京市,A,False,False,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367888.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367888,categoryId-441926.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367888,categoryId-10460788,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10011&ssdm=11,https://www.btbu.edu.cn/,https://www.btbu.edu.cn/,200,北京工商大学_院校信息_中国研究生招生信息网,https://www.btbu.edu.cn/,2026-04-26T13:34:24.773772+00:00,
北京服装学院,367889,北京,北京市,A,False,False,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367889.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367889,categoryId-476206.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367889,categoryId-10460790,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10012&ssdm=11,https://www.bift.edu.cn/,https://www.bift.edu.cn/,200,北京服装学院_院校信息_中国研究生招生信息网,https://www.bift.edu.cn/,2026-04-26T13:34:23.515496+00:00,
北京邮电大学,367890,北京,教育部,A,False,True,True,https://yz.chsi.com.cn/sch/schoolInfo--schId-367890.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367890,categoryId-442031.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367890,categoryId-10460792,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10013&ssdm=11,https://www.bupt.edu.cn/,https://www.bupt.edu.cn/,200,北京邮电大学_院校信息_中国研究生招生信息网,https://www.bupt.edu.cn/,2026-04-26T13:34:27.441351+00:00,
北京印刷学院,367891,北京,北京市,A,False,False,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367891.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367891,categoryId-442136.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367891,categoryId-10460794,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10015&ssdm=11,https://www.bigc.edu.cn/,https://www.bigc.edu.cn/,200,北京印刷学院_院校信息_中国研究生招生信息网,https://www.bigc.edu.cn/,2026-04-26T13:34:24.005259+00:00,
北京建筑大学,367892,北京,北京市,A,False,False,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367892.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367892,categoryId-442241.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367892,categoryId-10460796,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10016&ssdm=11,https://www.bucea.edu.cn/,https://www.bucea.edu.cn/,200,北京建筑大学_院校信息_中国研究生招生信息网,https://www.bucea.edu.cn/,2026-04-26T13:34:24.135616+00:00,
北京石油化工学院,302960377,北京,北京市,A,False,False,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-302960377.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-302960377,categoryId-302960431.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-302960377,categoryId-302960442,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10017&ssdm=11,https://www.bipt.edu.cn/,https://www.bipt.edu.cn/,200,北京石油化工学院_院校信息_中国研究生招生信息网,https://www.bipt.edu.cn/,2026-04-26T13:34:24.168850+00:00,
北京电子科技学院,302960684,北京,中央办公厅,A,False,False,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-302960684.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-302960684,categoryId-302960730.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-302960684,categoryId-302960743,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10018&ssdm=11,https://www.besti.edu.cn/,https://www.besti.edu.cn/,200,北京电子科技学院_院校信息_中国研究生招生信息网,https://www.besti.edu.cn/,2026-04-26T13:34:24.584980+00:00,
中国农业大学,367893,北京,教育部,A,True,True,True,https://yz.chsi.com.cn/sch/schoolInfo--schId-367893.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367893,categoryId-476431.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367893,categoryId-10460798,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10019&ssdm=11,https://www.cau.edu.cn/,https://www.cau.edu.cn/,200,中国农业大学_院校信息_中国研究生招生信息网,https://www.cau.edu.cn/,2026-04-26T13:34:25.929883+00:00,
北京农学院,367894,北京,北京市,A,False,False,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367894.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367894,categoryId-442346.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367894,categoryId-10460800,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10020&ssdm=11,https://www.bua.edu.cn/,https://www.bua.edu.cn/,200,北京农学院_院校信息_中国研究生招生信息网,https://www.bua.edu.cn/,2026-04-26T13:34:24.872832+00:00,
北京林业大学,367895,北京,教育部,A,False,True,True,https://yz.chsi.com.cn/sch/schoolInfo--schId-367895.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367895,categoryId-442452.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367895,categoryId-10460802,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10022&ssdm=11,https://www.bjfu.edu.cn/,https://www.bjfu.edu.cn/,200,北京林业大学_院校信息_中国研究生招生信息网,https://www.bjfu.edu.cn/,2026-04-26T13:34:30.138690+00:00,
北京协和医学院,367867,北京,国家卫生健康委员会,A,False,True,True,https://yz.chsi.com.cn/sch/schoolInfo--schId-367867.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367867,categoryId-440248.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367867,categoryId-10460804,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10023&ssdm=11,https://www.pumc.edu.cn/,https://www.pumc.edu.cn/,200,北京协和医学院_院校信息_中国研究生招生信息网,https://www.pumc.edu.cn/,2026-04-26T13:34:24.828659+00:00,
首都医科大学,367865,北京,北京市,A,False,False,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367865.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367865,categoryId-440142.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367865,categoryId-10460806,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10025&ssdm=11,https://www.ccmu.edu.cn/,https://www.ccmu.edu.cn/,200,首都医科大学_院校信息_中国研究生招生信息网,https://www.ccmu.edu.cn/,2026-04-26T13:34:24.827940+00:00,
北京中医药大学,367885,北京,教育部,A,False,True,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367885.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367885,categoryId-466576.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367885,categoryId-10460808,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10026&ssdm=11,https://www.bucm.edu.cn/,https://www.bucm.edu.cn/,200,北京中医药大学_院校信息_中国研究生招生信息网,https://www.bucm.edu.cn/,2026-04-26T13:34:25.297038+00:00,
北京师范大学,367859,北京,教育部,A,True,True,True,https://yz.chsi.com.cn/sch/schoolInfo--schId-367859.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367859,categoryId-439617.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367859,categoryId-10460810,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10027&ssdm=11,https://www.bnu.edu.cn/,https://www.bnu.edu.cn/,200,北京师范大学_院校信息_中国研究生招生信息网,https://www.bnu.edu.cn/,2026-04-26T13:34:25.388794+00:00,
首都师范大学,367860,北京,北京市,A,False,True,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367860.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367860,categoryId-439722.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367860,categoryId-10460812,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10028&ssdm=11,https://www.cnu.edu.cn/,https://www.cnu.edu.cn/,200,首都师范大学_院校信息_中国研究生招生信息网,https://www.cnu.edu.cn/,2026-04-26T13:34:25.389277+00:00,
首都体育学院,367861,北京,北京市,A,False,False,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367861.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367861,categoryId-439827.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367861,categoryId-10460814,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10029&ssdm=11,https://www.cupes.edu.cn/,https://www.cupes.edu.cn/,200,首都体育学院_院校信息_中国研究生招生信息网,https://www.cupes.edu.cn/,2026-04-26T13:34:31.066667+00:00,
北京外国语大学,367862,北京,教育部,A,False,True,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367862.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367862,categoryId-487456.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367862,categoryId-10460816,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10030&ssdm=11,https://www.bfsu.edu.cn/,https://www.bfsu.edu.cn/,200,北京外国语大学_院校信息_中国研究生招生信息网,https://www.bfsu.edu.cn/,2026-04-26T13:34:31.107597+00:00,
北京第二外国语学院,367863,北京,北京市,A,False,False,False,https://yz.chsi.com.cn/sch/schoolInfo--schId-367863.dhtml,"https://yz.chsi.com.cn/sch/schoolInfo--schId-367863,categoryId-439932.dhtml",200,,"https://yz.chsi.com.cn/sch/listZszc--schId-367863,categoryId-10460818,mindex-13,start-0.dhtml",https://yz.chsi.com.cn/sswbgg/?dwdm=10031&ssdm=11,https://www.bisu.edu.cn/,https://www.bisu.edu.cn/,200,北京第二外国语学院_院校信息_中国研究生招生信息网,https://www.bisu.edu.cn/,2026-04-26T13:34:25.903824+00:00,
