school_name,department,teacher_name,title,research_fields,teacher_unit,email,teacher_profile_url,source_url,source_section,confidence,extract_method
北京工业大学,机械与能源工程学院,王福德,博士生导师,,机械与能源工程学院,,,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.68,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,王立勇,博士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1160/2022.htm,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,王群,博士生导师,,机械与能源工程学院,,https://clxy.bjut.edu.cn/info/1094/1700.htm,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,王翔,博士生导师；硕士生导师,,机械与能源工程学院,,https://msm.bjut.edu.cn/info/1140/3260.htm,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,王跃宗,博士生导师；硕士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1107/1114.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,王金,硕士生导师,,机械与能源工程学院,,https://cmt.bjut.edu.cn/info/1171/1505.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,王鹏,博士生导师；硕士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1108/1301.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,甘少君,硕士生导师,,机械与能源工程学院,,https://cmt.bjut.edu.cn/info/1171/1486.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,申峰,硕士生导师,,机械与能源工程学院,,https://msm.bjut.edu.cn/info/1140/3267.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,盖胜男,硕士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1106/1334.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,石照耀,博士生导师；硕士生导师,,机械与能源工程学院,,https://www.bjut.edu.cn/info/1059/1563.htm,https://jxny.bjut.edu.cn/szdw/gccrc.htm,高层次人才,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,石睿,硕士生导师,,机械与能源工程学院,,https://sist.bjut.edu.cn/info/1443/4968.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,秦焕美,硕士生导师,,机械与能源工程学院,,https://cmt.bjut.edu.cn/info/1171/1499.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,秦飞,博士生导师；硕士生导师,,机械与能源工程学院,,https://msm.bjut.edu.cn/info/1140/3244.htm,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,程强,博士生导师；硕士生导师,,机械与能源工程学院,,https://www.bjut.edu.cn/info/1059/4139.htm,https://jxny.bjut.edu.cn/szdw/gccrc.htm,高层次人才,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,程慧明,硕士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1167/2724.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,程艳红,硕士生导师,,机械与能源工程学院,,https://yanzhao.bjut.edu.cn/info/1475/7345.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,窦雪萍,硕士生导师,,机械与能源工程学院,,https://cmt.bjut.edu.cn/info/1171/1439.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,精品课程,博士生导师；硕士生导师,,机械与能源工程学院,,,https://jxny.bjut.edu.cn/szdw/gccrc.htm,高层次人才,0.62,bjut_faculty_list_text
北京工业大学,机械与能源工程学院,纪姝婷,博士生导师；硕士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1107/2891.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,纪常伟,博士生导师；硕士生导师,,机械与能源工程学院,,https://yanzhao.bjut.edu.cn/info/1426/7822.htm,https://jxny.bjut.edu.cn/szdw/dlgcjgcrwl.htm,动力工程及工程热物理,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,纪辉,博士生导师；硕士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1108/1308.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,翁剑成,博士生导师；硕士生导师,,机械与能源工程学院,,https://cmt.bjut.edu.cn/info/1171/1457.htm,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,聂松林,博士生导师；硕士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1107/1137.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,肖珺,博士生导师；硕士生导师,,机械与能源工程学院,,https://yanzhao.bjut.edu.cn/info/1475/7475.htm,https://jxny.bjut.edu.cn/szdw/gccrc.htm,高层次人才,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,肖荣诗,博士生导师,,机械与能源工程学院,,https://spoe.bjut.edu.cn/info/1180/1690.htm,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,胥永刚,博士生导师；硕士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1107/1113.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,苏丽颖,硕士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1108/1309.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,苗岩岩,,,机械与能源工程学院,,,https://jxny.bjut.edu.cn/szdw/bshldz.htm,博士后流动站,0.62,bjut_faculty_list_text
北京工业大学,机械与能源工程学院,苗恩铭,博士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1160/2031.htm,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,苗扬,硕士生导师,,机械与能源工程学院,,https://yanzhao.bjut.edu.cn/info/1475/7477.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,范博,硕士生导师,,机械与能源工程学院,,https://cmt.bjut.edu.cn/info/1172/1571.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,范晋伟,博士生导师；硕士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1107/1119.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,董明利,博士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1160/2029.htm,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,董明杰,博士生导师；硕士生导师,,机械与能源工程学院,,https://yanzhao.bjut.edu.cn/info/1475/7410.htm,https://jxny.bjut.edu.cn/szdw/gccrc.htm,高层次人才,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,蒋凡,博士生导师；硕士生导师,,机械与能源工程学院,,https://www.bjut.edu.cn/info/1060/3187.htm,https://jxny.bjut.edu.cn/szdw/gccrc.htm,高层次人才,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,蒋晓青,硕士生导师,,机械与能源工程学院,,https://yanzhao.bjut.edu.cn/info/1475/7484.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,薛龙,博士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1160/2035.htm,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,袁涛,博士生导师；硕士生导师,,机械与能源工程学院,,https://yanzhao.bjut.edu.cn/info/1475/7440.htm,https://jxny.bjut.edu.cn/szdw/gccrc.htm,高层次人才,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,褚凤鸣,博士生导师；硕士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1161/2575.htm,https://jxny.bjut.edu.cn/szdw/gccrc.htm,高层次人才,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,詹璟原,博士生导师；硕士生导师,,机械与能源工程学院,,https://sist.bjut.edu.cn/info/1443/4080.htm,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,许树学,硕士生导师,,机械与能源工程学院,,https://yanzhao.bjut.edu.cn/info/1476/7744.htm,https://jxny.bjut.edu.cn/szdw/dlgcjgcrwl.htm,动力工程及工程热物理,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,许琰,硕士生导师,,机械与能源工程学院,,https://cmt.bjut.edu.cn/info/1171/1442.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,许静静,博士生导师；硕士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1105/2867.htm,https://jxny.bjut.edu.cn/szdw/gccrc.htm,高层次人才,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,谢瑞山,博士生导师；硕士生导师,,机械与能源工程学院,,https://yanzhao.bjut.edu.cn/info/1475/7343.htm,https://jxny.bjut.edu.cn/szdw/gccrc.htm,高层次人才,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,贺炜林,硕士生导师,,机械与能源工程学院,,https://msm.bjut.edu.cn/info/1081/2710.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,贾晓璐,硕士生导师,,机械与能源工程学院,,https://cmt.bjut.edu.cn/info/1171/1490.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,赖英旭,博士生导师；硕士生导师,,机械与能源工程学院,,https://cs.bjut.edu.cn/info/1503/3428.htm,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,赖见辉,硕士生导师,,机械与能源工程学院,,https://cmt.bjut.edu.cn/info/1171/1485.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,赵京,博士生导师；硕士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1107/1112.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,赵德尊,博士生导师；硕士生导师,,机械与能源工程学院,,https://yanzhao.bjut.edu.cn/info/1475/7316.htm,https://jxny.bjut.edu.cn/szdw/gccrc.htm,高层次人才,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,赵晓华,博士生导师；硕士生导师,,机械与能源工程学院,,https://cmt.bjut.edu.cn/info/1171/1472.htm,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,赵晓芳,硕士生导师,,机械与能源工程学院,,https://msm.bjut.edu.cn/info/1140/3261.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,赵永胜,博士生导师；硕士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1107/1136.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,赵红雁,博士生导师；硕士生导师,,机械与能源工程学院,,https://yanzhao.bjut.edu.cn/info/1475/7313.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,赵鹏经,硕士生导师,,机械与能源工程学院,,https://yanzhao.bjut.edu.cn/info/1475/7347.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,边扬,硕士生导师,,机械与能源工程学院,,https://cmt.bjut.edu.cn/info/1171/1455.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,逄燕,博士生导师；硕士生导师,,机械与能源工程学院,,https://msm.bjut.edu.cn/info/1140/3240.htm,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,通知公告,博士生导师；硕士生导师,,机械与能源工程学院,,,https://jxny.bjut.edu.cn/szdw/gccrc.htm,高层次人才,0.62,bjut_faculty_list_text
北京工业大学,机械与能源工程学院,邓勇舰,硕士生导师,,机械与能源工程学院,,https://cs.bjut.edu.cn/info/1503/3970.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,邓希达,硕士生导师,,机械与能源工程学院,,https://sist.bjut.edu.cn/info/1516/5003.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,邓恒,硕士生导师,,机械与能源工程学院,,https://sist.bjut.edu.cn/info/1518/4411.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,邵东,博士生导师；硕士生导师,,机械与能源工程学院,,https://yanzhao.bjut.edu.cn/info/1475/7334.htm,https://jxny.bjut.edu.cn/szdw/gccrc.htm,高层次人才,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,邹锋,博士生导师,,机械与能源工程学院,,https://bjiad.bjut.edu.cn/info/1086/1171.htm,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,郄志鹏,硕士生导师,,机械与能源工程学院,,https://jxny.bjut.edu.cn/info/1168/3077.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
